scaffold	prediction
GCA_003966875___contig_3	plasmid
GCA_025728675___contig_21	virus
GCA_025728695___contig_131	organism
MP_ONT81___contig_3	virus
GCA_025728595___contig_11	virus
GCA_014202715___contig_6_fragment_1	organism
GCA_025728675___contig_22_fragment_1	virus
GCA_025728675___contig_22_fragment_2	organism
GCA_025728675___contig_22_fragment_4	virus
MP_BCQMy223___contig_2_fragment_2	organism
GCA_025728615___contig_1_fragment_2	organism
GCA_025728615___contig_1_fragment_4	virus
GCA_025728675___contig_49_fragment_2	organism
MP_QEQMy132961___contig_1_fragment_3	organism
MP_QEQMy132961___contig_1_fragment_4	organism
MP_QEQMy132961___contig_1_fragment_5	organism
MP_QEQMy132961___contig_1_fragment_6	organism
MP_QEQMy132961___contig_1_fragment_7	virus
MP_QEQMy132961___contig_1_fragment_9	organism
MP_QEQMy132961___contig_1_fragment_10	virus
MP_QEQMy132961___contig_1_fragment_11	organism
MP_QEQMy132961___contig_1_fragment_14	organism
GCA_001047455___contig_3_fragment_3	organism
GCA_001047455___contig_3_fragment_5	organism
GCA_001047595___contig_7_fragment_1	organism
GCA_001047595___contig_7_fragment_4	organism
GCA_025728595___contig_13_fragment_1	organism
GCA_001047555___contig_1_fragment_3	organism
GCA_003462485___contig_1_fragment_1	organism
GCA_003462485___contig_1_fragment_2	organism
GCA_003462485___contig_1_fragment_3	organism
GCA_003462485___contig_1_fragment_4	plasmid
GCA_003462485___contig_1_fragment_7	organism
MP_BCQMy206___contig_1_fragment_3	virus
MP_BCQMy206___contig_1_fragment_4	organism
MP_BCQMy206___contig_1_fragment_5	virus
MP_BCQMy206___contig_1_fragment_8	organism
MP_BCQMy206___contig_1_fragment_11	virus
MP_BCQMy206___contig_1_fragment_12	virus
MP_BCQMy206___contig_1_fragment_14	virus
MP_BCQMy206___contig_1_fragment_15	organism
GCA_000270185___contig_2_fragment_2	organism
GCA_025728695___contig_67_fragment_1	organism
MP_ONT63___contig_3	virus
GCA_001047545___contig_4	plasmid
GCA_025728675___contig_9	plasmid
MP_ONT141___contig_3	virus
GCA_025728695___contig_120	organism
GCA_025728615___contig_14	plasmid
GCA_025728695___contig_95	organism
MP_BCQMy206___contig_3	virus
MP_QEQMy133751___contig_3	virus
GCA_001047555___contig_9_fragment_1	virus
GCA_001047555___contig_9_fragment_2	organism
GCA_001047465___contig_12_fragment_1	virus
GCA_001047465___contig_12_fragment_2	organism
GCA_001047405___contig_6_fragment_4	organism
GCA_003462485___contig_12_fragment_1	plasmid
MP_LCAL0054___contig_1_fragment_3	virus
MP_LCAL0054___contig_1_fragment_4	organism
MP_LCAL0054___contig_1_fragment_5	virus
MP_LCAL0054___contig_1_fragment_7	virus
MP_LCAL0054___contig_1_fragment_9	organism
MP_LCAL0054___contig_1_fragment_12	virus
MP_LCAL0054___contig_1_fragment_13	virus
MP_LCAL0054___contig_1_fragment_15	organism
GCA_003462485___contig_15_fragment_1	organism
GCA_025728645___contig_46_fragment_1	organism
GCA_025728635___contig_33_fragment_1	organism
GCA_000283975___contig_1_fragment_4	organism
GCA_000283975___contig_1_fragment_5	virus
GCA_000283975___contig_1_fragment_8	organism
GCA_000283975___contig_1_fragment_13	organism
GCA_000283975___contig_1_fragment_14	organism
GCA_025728615___contig_7_fragment_1	virus
GCA_001047465___contig_9_fragment_3	organism
GCA_001047465___contig_9_fragment_6	organism
MP_ATCC35311___contig_1_fragment_3	organism
MP_ATCC35311___contig_1_fragment_4	organism
MP_ATCC35311___contig_1_fragment_5	organism
MP_ATCC35311___contig_1_fragment_7	virus
MP_ATCC35311___contig_1_fragment_8	virus
MP_ATCC35311___contig_1_fragment_11	organism
MP_ATCC35311___contig_1_fragment_12	organism
MP_ATCC35311___contig_1_fragment_16	organism
GCA_025728675___contig_50_fragment_1	organism
GCA_001047515___contig_4_fragment_1	organism
GCA_003462485___contig_5	organism
GCA_025728635___contig_27	organism
GCA_025728645___contig_10	plasmid
GCA_025728595___contig_43	virus
GCA_025728595___contig_19	virus
GCA_025728615___contig_18	organism
GCA_025728615___contig_9	virus
GCA_025728675___contig_13	virus
GCA_025728595___contig_14	virus
GCA_001047435___contig_4_fragment_1	virus
MP_BCQMy204___contig_1_fragment_3	virus
MP_BCQMy204___contig_1_fragment_4	organism
MP_BCQMy204___contig_1_fragment_5	virus
MP_BCQMy204___contig_1_fragment_8	organism
MP_BCQMy204___contig_1_fragment_11	virus
MP_BCQMy204___contig_1_fragment_12	virus
MP_BCQMy204___contig_1_fragment_14	virus
MP_BCQMy204___contig_1_fragment_15	organism
GCA_001047445___contig_9_fragment_1	virus
GCA_001047445___contig_9_fragment_4	organism
GCA_001047445___contig_9_fragment_5	organism
MP_ONT63___contig_2_fragment_2	organism
MP_BCQMy225___contig_1_fragment_3	virus
MP_BCQMy225___contig_1_fragment_4	organism
MP_BCQMy225___contig_1_fragment_5	virus
MP_BCQMy225___contig_1_fragment_8	organism
MP_BCQMy225___contig_1_fragment_11	virus
MP_BCQMy225___contig_1_fragment_12	virus
MP_BCQMy225___contig_1_fragment_14	virus
MP_BCQMy225___contig_1_fragment_15	organism
GCA_001047525___contig_5_fragment_1	virus
GCA_001047515___contig_15_fragment_1	organism
GCA_001047515___contig_15_fragment_2	virus
GCA_001047515___contig_15_fragment_3	virus
GCA_000747585___contig_1_fragment_5	organism
GCA_000747585___contig_1_fragment_7	organism
GCA_000747585___contig_1_fragment_8	virus
GCA_000747585___contig_1_fragment_9	organism
GCA_000747585___contig_1_fragment_11	virus
GCA_000747585___contig_1_fragment_12	organism
GCA_000747585___contig_1_fragment_14	organism
GCA_000747585___contig_1_fragment_15	organism
MP_BCQMy204___contig_2_fragment_2	organism
GCA_025728645___contig_1_fragment_4	virus
GCA_025728675___contig_23	virus
GCA_014202715___contig_9	organism
GCA_025728695___contig_18	organism
GCA_025728675___contig_26	virus
MP_BCQMy224___contig_3	virus
GCA_025728675___contig_11	virus
MP_AB35___contig_3	virus
GCA_001047525___contig_8_fragment_1	organism
GCA_001047525___contig_8_fragment_2	organism
GCA_001047525___contig_8_fragment_3	organism
MP_BC9___contig_2_fragment_2	organism
GCA_025728645___contig_35_fragment_1	organism
GCA_025728645___contig_35_fragment_2	organism
GCA_025728645___contig_21_fragment_1	organism
GCA_001047515___contig_11_fragment_4	organism
GCA_009731445___contig_2_fragment_3	organism
GCA_001047545___contig_10_fragment_1	virus
GCA_001047545___contig_10_fragment_2	organism
GCA_001047545___contig_10_fragment_3	organism
GCA_001047545___contig_10_fragment_4	organism
GCA_001047545___contig_10_fragment_5	organism
GCA_001047435___contig_7_fragment_1	virus
GCA_001047435___contig_7_fragment_2	organism
GCA_001047545___contig_7_fragment_1	virus
GCA_003966875___contig_1_fragment_4	virus
GCA_003966875___contig_1_fragment_7	organism
GCA_003966875___contig_1_fragment_12	organism
GCA_003966875___contig_1_fragment_13	organism
GCA_001047595___contig_10_fragment_2	virus
GCA_001047595___contig_10_fragment_3	virus
GCA_001047595___contig_10_fragment_4	organism
GCA_001047595___contig_10_fragment_5	organism
GCA_001047595___contig_10_fragment_6	organism
GCA_014202715___contig_2_fragment_1	organism
GCA_014202715___contig_2_fragment_2	organism
GCA_014202715___contig_2_fragment_3	organism
GCA_014202715___contig_2_fragment_4	organism
GCA_014202715___contig_2_fragment_5	virus
GCA_014202715___contig_2_fragment_6	virus
GCA_025728645___contig_27	virus
GCA_025728595___contig_25	virus
GCA_025728695___contig_141	virus
MP_ONT231___contig_3	virus
MP_ONT143___contig_3	virus
GCA_025728675___contig_18	virus
GCA_025728695___contig_128	virus
GCA_025728645___contig_9	virus
MP_LCAL0054___contig_3	virus
MP_BCQMy205___contig_2_fragment_2	organism
MP_BCQMy205___contig_1_fragment_3	virus
MP_BCQMy205___contig_1_fragment_4	organism
MP_BCQMy205___contig_1_fragment_5	virus
MP_BCQMy205___contig_1_fragment_8	organism
MP_BCQMy205___contig_1_fragment_11	virus
MP_BCQMy205___contig_1_fragment_12	virus
MP_BCQMy205___contig_1_fragment_14	virus
MP_BCQMy205___contig_1_fragment_15	organism
GCA_025728635___contig_1_fragment_4	virus
GCA_001047455___contig_5_fragment_1	virus
GCA_001047455___contig_5_fragment_2	organism
GCA_001047455___contig_5_fragment_3	organism
GCA_001047455___contig_5_fragment_4	organism
GCA_001047455___contig_5_fragment_5	organism
GCA_025728615___contig_22_fragment_1	organism
GCA_009731445___contig_1_fragment_3	organism
GCA_009731445___contig_1_fragment_5	organism
GCA_009731445___contig_1_fragment_6	virus
GCA_009731445___contig_1_fragment_7	organism
GCA_009731445___contig_1_fragment_9	virus
GCA_009731445___contig_1_fragment_10	organism
GCA_009731445___contig_1_fragment_12	organism
GCA_009731445___contig_1_fragment_13	organism
GCA_001047395___contig_9_fragment_1	organism
GCA_001047395___contig_9_fragment_3	organism
GCA_025728615___contig_49_fragment_2	organism
GCA_001047435___contig_8_fragment_1	organism
GCA_001047435___contig_8_fragment_2	organism
GCA_001047435___contig_8_fragment_3	organism
MP_AB35___contig_2_fragment_2	organism
MP_LCAL0064___contig_2_fragment_2	organism
GCA_025728645___contig_8	virus
MP_BCQMy204___contig_3	virus
MP_BC9___contig_3	virus
GCA_025728635___contig_25	virus
GCA_025728595___contig_12	plasmid
GCA_025728595___contig_27	virus
GCA_004001225___contig_3	plasmid
GCA_025728595___contig_22	virus
MP_LCAL0064___contig_3	virus
GCA_001047465___contig_13_fragment_1	organism
GCA_001047465___contig_13_fragment_2	organism
GCA_001047465___contig_13_fragment_3	organism
MP_LCAL0064___contig_1_fragment_3	virus
MP_LCAL0064___contig_1_fragment_4	organism
MP_LCAL0064___contig_1_fragment_5	virus
MP_LCAL0064___contig_1_fragment_7	virus
MP_LCAL0064___contig_1_fragment_9	organism
MP_LCAL0064___contig_1_fragment_12	virus
MP_LCAL0064___contig_1_fragment_13	virus
MP_LCAL0064___contig_1_fragment_15	organism
GCA_001047545___contig_11_fragment_2	organism
GCA_025728695___contig_1_fragment_1	organism
GCA_001047435___contig_10_fragment_3	organism
GCA_004001205___contig_1_fragment_4	organism
GCA_004001205___contig_1_fragment_7	organism
GCA_004001205___contig_1_fragment_8	organism
GCA_004001205___contig_1_fragment_11	virus
GCA_004001205___contig_1_fragment_12	virus
GCA_004001205___contig_1_fragment_13	organism
GCA_004001205___contig_1_fragment_14	organism
GCA_004001205___contig_1_fragment_15	organism
MP_BCQMy224___contig_2_fragment_2	organism
GCA_004001225___contig_2_fragment_3	organism
GCA_025728675___contig_42_fragment_1	organism
GCA_025728675___contig_42_fragment_2	virus
GCA_025728615___contig_2_fragment_1	organism
GCA_025728645___contig_23	virus
GCA_025728615___contig_13	virus
MP_BCQMy205___contig_3	virus
GCA_001047455___contig_8	virus
GCA_025728645___contig_15	organism
GCA_025728635___contig_34	virus
GCA_025728635___contig_22	virus
GCA_003462485___contig_4	organism
GCA_025728675___contig_17	virus
GCA_003462485___contig_6	organism
GCA_025728595___contig_10	virus
GCA_025728645___contig_57_fragment_1	organism
GCA_001047445___contig_4_fragment_1	organism
GCA_025728635___contig_53_fragment_2	organism
GCA_025728635___contig_53_fragment_3	organism
MP_BCQMy224___contig_1_fragment_3	virus
MP_BCQMy224___contig_1_fragment_4	organism
MP_BCQMy224___contig_1_fragment_5	virus
MP_BCQMy224___contig_1_fragment_8	organism
MP_BCQMy224___contig_1_fragment_11	virus
MP_BCQMy224___contig_1_fragment_12	virus
MP_BCQMy224___contig_1_fragment_14	virus
MP_BCQMy224___contig_1_fragment_15	organism
MP_ONT231___contig_2_fragment_2	organism
MP_BCQMy302___contig_1_fragment_3	virus
MP_BCQMy302___contig_1_fragment_4	organism
MP_BCQMy302___contig_1_fragment_5	virus
MP_BCQMy302___contig_1_fragment_7	virus
MP_BCQMy302___contig_1_fragment_9	organism
MP_BCQMy302___contig_1_fragment_12	virus
MP_BCQMy302___contig_1_fragment_13	virus
MP_BCQMy302___contig_1_fragment_15	organism
MP_BCQMy302___contig_2_fragment_2	organism
GCA_001047465___contig_1_fragment_2	organism
MP_ATCC35311___contig_2_fragment_3	organism
GCA_001047405___contig_4_fragment_1	virus
GCA_001047405___contig_4_fragment_2	organism
GCA_001047405___contig_4_fragment_3	organism
GCA_001047405___contig_4_fragment_4	organism
GCA_001047405___contig_4_fragment_5	organism
MP_ONT63___contig_1_fragment_1	virus
MP_ONT63___contig_1_fragment_4	virus
MP_ONT63___contig_1_fragment_7	organism
MP_ONT63___contig_1_fragment_12	virus
MP_ONT63___contig_1_fragment_13	organism
MP_ONT63___contig_1_fragment_14	virus
MP_ONT63___contig_1_fragment_15	organism
GCA_001047455___contig_4_fragment_1	virus
GCA_001047525___contig_10_fragment_2	organism
GCA_025728595___contig_34_fragment_1	organism
GCA_025728595___contig_34_fragment_3	virus
GCA_025728595___contig_21	virus
GCA_025728695___contig_122	virus
GCA_025728695___contig_102	virus
GCA_025728595___contig_17	virus
GCA_025728695___contig_111	organism
GCA_025728695___contig_87	virus
GCA_025728645___contig_12	virus
GCA_000283975___contig_2_fragment_2	organism
MP_QEQMy132961___contig_2_fragment_3	organism
GCA_025728635___contig_26_fragment_1	virus
GCA_025728635___contig_26_fragment_2	organism
MP_ONT141___contig_1_fragment_1	virus
MP_ONT141___contig_1_fragment_4	virus
MP_ONT141___contig_1_fragment_7	organism
MP_ONT141___contig_1_fragment_12	virus
MP_ONT141___contig_1_fragment_13	organism
MP_ONT141___contig_1_fragment_14	virus
MP_ONT141___contig_1_fragment_15	organism
GCA_014202715___contig_1_fragment_1	organism
GCA_014202715___contig_1_fragment_5	organism
MP_BCQMy225___contig_2_fragment_2	organism
GCA_025728615___contig_37_fragment_1	organism
GCA_025728695___contig_13_fragment_1	organism
GCA_025728695___contig_97_fragment_1	organism
GCA_001047545___contig_6_fragment_3	organism
MP_QEQMy133751___contig_1_fragment_3	organism
MP_QEQMy133751___contig_1_fragment_4	organism
MP_QEQMy133751___contig_1_fragment_5	organism
MP_QEQMy133751___contig_1_fragment_6	organism
MP_QEQMy133751___contig_1_fragment_7	virus
MP_QEQMy133751___contig_1_fragment_9	organism
MP_QEQMy133751___contig_1_fragment_10	virus
MP_QEQMy133751___contig_1_fragment_11	organism
MP_QEQMy133751___contig_1_fragment_14	organism
MP_AB35___contig_1_fragment_3	virus
MP_AB35___contig_1_fragment_4	organism
MP_AB35___contig_1_fragment_5	virus
MP_AB35___contig_1_fragment_7	virus
MP_AB35___contig_1_fragment_9	organism
MP_AB35___contig_1_fragment_12	virus
MP_AB35___contig_1_fragment_13	virus
MP_AB35___contig_1_fragment_15	organism
GCA_001047455___contig_7_fragment_3	organism
GCA_025728595___contig_24	virus
GCA_025728695___contig_125	plasmid
GCA_025728635___contig_23	plasmid
GCA_025728645___contig_17	virus
GCA_025728675___contig_10	virus
GCA_025728635___contig_32	virus
GCA_025728595___contig_29	organism
GCA_025728595___contig_26	organism
MP_BC9___contig_1_fragment_3	virus
MP_BC9___contig_1_fragment_4	organism
MP_BC9___contig_1_fragment_5	virus
MP_BC9___contig_1_fragment_7	virus
MP_BC9___contig_1_fragment_9	organism
MP_BC9___contig_1_fragment_12	virus
MP_BC9___contig_1_fragment_13	virus
MP_BC9___contig_1_fragment_15	organism
GCA_001047395___contig_6_fragment_1	virus
GCA_001047395___contig_6_fragment_2	organism
GCA_001047395___contig_6_fragment_3	organism
GCA_001047395___contig_6_fragment_4	organism
GCA_001047395___contig_6_fragment_5	organism
GCA_001047555___contig_7_fragment_1	virus
GCA_025728615___contig_10_fragment_1	virus
MP_QEQMy133751___contig_2_fragment_3	organism
GCA_001047595___contig_8_fragment_1	organism
GCA_025728615___contig_51_fragment_1	virus
GCA_025728615___contig_12_fragment_1	organism
GCA_025728615___contig_12_fragment_3	virus
GCA_003966875___contig_2_fragment_2	organism
MP_ONT143___contig_2_fragment_2	organism
GCA_025728595___contig_75_fragment_1	organism
GCA_025728635___contig_64_fragment_1	organism
GCA_025728675___contig_12_fragment_1	organism
MP_ONT141___contig_2_fragment_2	organism
GCA_025728595___contig_18	organism
GCA_025728595___contig_16	virus
GCA_025728595___contig_15	virus
GCA_025728635___contig_30	organism
GCA_025728695___contig_139	virus
GCA_025728615___contig_11	virus
GCA_025728645___contig_22	organism
GCA_025728635___contig_24	organism
GCA_001047525___contig_4_fragment_1	organism
GCA_001047525___contig_4_fragment_4	organism
GCA_029024925___contig_1_fragment_2	plasmid
GCA_029024925___contig_1_fragment_3	organism
GCA_029024925___contig_1_fragment_4	plasmid
GCA_029024925___contig_1_fragment_9	organism
GCA_029024925___contig_1_fragment_10	organism
GCA_029024925___contig_1_fragment_12	virus
GCA_029024925___contig_1_fragment_14	organism
GCA_029024925___contig_1_fragment_15	organism
GCA_029024925___contig_1_fragment_16	organism
GCA_029024925___contig_1_fragment_19	plasmid
GCA_029024925___contig_1_fragment_20	plasmid
GCA_029024925___contig_1_fragment_21	plasmid
GCA_029024925___contig_1_fragment_22	virus
GCA_029024925___contig_1_fragment_23	virus
GCA_029024925___contig_1_fragment_26	organism
GCA_029024925___contig_1_fragment_32	virus
GCA_029024925___contig_1_fragment_33	organism
MP_ONT81___contig_1_fragment_3	virus
MP_ONT81___contig_1_fragment_4	virus
MP_ONT81___contig_1_fragment_7	organism
MP_ONT81___contig_1_fragment_12	virus
MP_ONT81___contig_1_fragment_13	organism
MP_ONT81___contig_1_fragment_14	virus
MP_ONT81___contig_1_fragment_15	organism
GCA_001047555___contig_10_fragment_1	organism
GCA_001047555___contig_10_fragment_2	organism
GCA_001047555___contig_10_fragment_3	organism
MP_LCAL0054___contig_2_fragment_2	organism
GCA_025728675___contig_3_fragment_1	virus
GCA_001047525___contig_7_fragment_1	virus
GCA_001047525___contig_7_fragment_2	organism
GCA_001047395___contig_3_fragment_3	organism
